datum,ellipsoid_code
(WGS84) World Geodetic System 1984,WE
Abidjan 1987,CD
Accra,WO
Aden 1925,CD
Adindan,CD
Afgooye,KA
Ain el Abd 1970,IN
Airy 1830 ellipsoid,AA
Airy Modified 1849 ellipsoid,AM
Alaska (NAD27),CC
Alaska/Canada (NAD27),CC
Albanian 1987,KA
American Samoa 1962,CC
Amersfoort,BR
Ammassalik 1958,IN
Anguilla 1957,CD
Anna 1 Astro 1965,AN
Antigua Island Astro 1943,CD
Aratu,IN
Arc 1950 mean,CD
Arc 1960 mean,CD
Ascension Island 1958,IN
Astro Beacon E 1945,IN
Astro DOS 71/4,IN
Astro Tern Island (FRIG) 1961,IN
Astronomic Station No. 1 1951,IN
"Astronomic Station No. 2 1951, Truk Island",IN
Astronomic Station Ponape 1951,IN
Astronomical Station 1952,IN
Australian Antarctic Datum 1998,RF
(AGD66) Australian Geodetic Datum 1966,AN
(AGD84) Australian Geodetic Datum 1984,AN
Australian National ellipsoid,AN
Autonomous Regions of Portugal 2008,RF
Average Terrestrial System 1977 ellipsoid,AV
Ayabelle Lighthouse,CD
Azores Central Islands 1948,IN
Azores Central Islands 1995,IN
Azores Occidental Islands 1939,IN
Azores Oriental Islands 1940,IN
Azores Oriental Islands 1995,IN
Bahamas (NAD27),CC
Barbados 1938,CD
Batavia,BR
Beduaram,CD
Beijing 1954,KA
Bekaa Valley 1920 (IGN),CD
Bellevue (IGN),IN
Bermuda 1957,CC
Bermuda 2000,WE
Bessel 1841 ellipsoid (Namibia),BN
Bessel 1841 ellipsoid (non-Namibia),BR
Bessel Modified ellipsoid,BM
Bhutan National Geodetic Datum,RF
Bioko,IN
Bissau,IN
Bogota 1975,IN
Bukit Rimpah,BN
Bulgaria Geodetic System 2005,RF
Cadastre 1997,IN
Camacupa,CD
Camp Area Astro,IN
Campo Inchauspe,IN
Canada Mean (NAD27),CC
Canal Zone (NAD27),CC
Canton Astro 1966,IN
Cape,CD
Cape Canaveral mean,CC
Caribbean (NAD27),CC
Carthage,CD
Cayman Islands Geodetic Datum 2011,RF
Central America (NAD27),CC
Centre Spatial Guyanais 1967,IN
CH1903,BR
CH1903+,BR
Chatham Island Astro 1971,IN
Chatham Islands Datum 1979,IN
Chua Astro,IN
Clarke 1858 ellipsoid,CE
Clarke 1866 ellipsoid,CC
Clarke 1880 ellipsoid,CD
Clarke 1880 (Benoit) ellipsoid,CB
Clarke 1880 (international foot) ellipsoid,CI
Co-Ordinate System 1937 of Estonia,BR
Cocos Islands 1965,AF
Combani 1950,IN
Conakry 1905,CD
Congo 1960 Pointe Noire,CD
Corrego Alegre 1961,IN
Corrego Alegre 1970-72,IN
Costa Rica 2005,WE
Cuba (NAD27),CC
Croatian Terrestrial Reference System,RF
Cyprus,IN
Cyprus Geodetic Reference System 1993,WE
Dabola 1981,CD
Danish 1876,DN
Datum 73,IN
Datum Geodesi Nasional 1995,WE
Dealul Piscului 1930,IN
Deception Island,CD
Deir ez Zor,CD
Deutsches Hauptdreiecksnetz,BR
Diego Garcia 1969,IN
Djakarta (Batavia),BR
DOS 1968,IN
Dominica 1945,CD
Douala 1948,IN
Easter Island 1967,IN
Egypt 1907,HE
Egypt Gulf of Suez S-650 TL,HE
Estonia 1992,RF
Estonia 1997,RF
European 1950,IN
European 1950 mean,IN
European Datum 1950(1977),IN
European 1979 mean,IN
European Datum 1987,IN
European Libyan Datum 1979,IN
European Terrestrial Reference System 1989,RF
"Everest ellipsoid (Brunei, Sabah, Sarawak)",EB
"Everest ellipsoid (W. Malaysia, Singapore 1948)",EE
Everest 1830 (1937 Adjustment) ellipsoid India,EA
Everest India 1856 ellipsoid,EC
Everest 1830 (1962 Definition) ellipsoid India,EG
Everest 1830 (1975 Definition) ellipsoid India,EH
Everest Pakistan ellipsoid,EF
Everest W. Malaysia 1969 ellipsoid,ED
Fahud,CD
Fatu Iva 72,IN
Fehmarnbelt Datum 2010,RF
Fiji 1956,IN
Fiji Geodetic Datum 1986,WD
Final Datum 1958,CD
Finnish Nautical Chart,IN
Fort Marigot,IN
Fort Thomas 1955,CD
Gambia,CD
Gan 1970,IN
Gandajika Base,IN
Gan 1970,IN
