ellipsoid_code,ellipsoid_flattening,datum_comment,,,,,,,,,,
AA,299.3249646,Airy 1830,,,,,,,,,,
AM,299.3249646,Airy Modified 1849,,,,,,,,,,
AN,298.25,Australian National,,,,,,,,,,
AV,298.257,Average Terrestrial System 1977,,,,,,,,,,
BR,299.1528128,"Bessel 1841 Ethiopia, Indonesia, Japan, and Korea",,,,,,,,,,
BN,299.1528128,Bessel 1841 Namibia,,,,,,,,,,      
BM,299.1528128,Bessel Modified,,,,,,,,,,      
CE,294.26,Clarke 1858,,,,,,,,,,      
CC,294.9786982,Clarke 1866,,,,,,,,,,      
CD,293.465,Clarke 1880,,,,,,,,,,      
CB,293.4663155,Clarke 1880 (Benoit),,,,,,,,,,      
CI,293.4663077,Clarke 1880 (international foot),,,,,,,,,,      
DN,300,Danish 1876,,,,,,,,,,      
EB,300.8017,Everest Brunei and E. Malaysia (Sabah and Sarawak),,,,,,,,,,
EA,300.8017,Everest 1830 (1937 Adjustment) India,,,,,,,,,,     
EC,300.8017,Everest India 1956,,,,,,,,,,     
EG,300.8017,Everest 1830 (1962 Definition) India,,,,,,,,,,     
EH,300.8017255,Everest 1830 (1975 Definition) India,,,,,,,,,,     
EF,300.8017,Everest Pakistan,,,,,,,,,,     
EE,300.8017,Everest W. Malaysia and Singapore 1948,,,,,,,,,,
ED,300.8017,Everest W. Malaysia 1969,,,,,,,,,,    
RE,298.2471674,Geodetic Reference System 1967,,,,,,,,,,
RD,298.25,Geodetic Reference System 1967 Modified,,,,,,,,,,
RF,298.2572221,Geodetic Reference System 1980,,,,,,,,,,
HE,298.3,Helmert 1906,,,,,,,,,,
HO,297,Hough 1960,,,,,,,,,,  
ID,298.247,Indonesian 1974,,,,,,,,,,  
IN,297,International 1924,,,,,,,,,,  
KA,298.3,Krassowsky 1940,,,,,,,,,,  
PZ,298.2578393,PZ-90,,,,,,,,,,  
FA,298.3,Modified Fischer 1960,,,,,,,,,,
SA,298.25,South American 1969,,,,,,,,,,
WO,296,War Office,,,,,,,,,,
WC,298.25,WGS 1966,,,,,,,,,,
WD,298.26,WGS 1972,,,,,,,,,,
WE,298.2572236,WGS84,,,,,,,,,,
